State,District,Soil_Type,Season,Water_Availability,Previous_Crop,Land_Area_Acres,Temperature_C,Rainfall_mm,Recommended_Crop,Fertilizer_N,Fertilizer_P,Fertilizer_K
Odisha,Kendrapara,Sandy,Summer,Medium,Ragi,6,35.4,93,Maize,High,Medium,Medium
Telangana,Khammam,Black,Kharif,Medium,Onion,1,26.0,1064,Cotton,High,Medium,High
Karnataka,Chikkamagaluru,Black,Kharif,Low,Chilli,1,16.9,1815,Soybean,Low,Medium,Medium
Telangana,Suryapet,Black,Rabi,Low,Rice,14,23.1,51,Jowar,Low,Medium,Low
Maharashtra,Osmanabad,Clay,Rabi,Low,Cotton,4,22.6,21,Wheat,Medium,Medium,Low
Telangana,Rangareddy,Red,Summer,Low,None,2,32.0,54,Onion,Medium,High,Medium
Telangana,Medchal Malkajgiri,Sandy,Rabi,Medium,None,2,25.3,72,Sunflower,Medium,Medium,Low
Maharashtra,Satara,Loam,Kharif,High,Cotton,4,22.5,639,Rice,Low,High,Medium
Maharashtra,Wardha,Loam,Kharif,Low,Maize,3,28.0,602,Cotton,High,High,Medium
Telangana,Warangal Urban,Loam,Kharif,Low,Bajra,7,27.7,1050,Maize,High,Medium,Medium
Telangana,Bhadradri Kothagudem,Sandy,Kharif,Low,None,2,25.9,1096,Groundnut,Low,Medium,Medium
Maharashtra,Pune,Sandy,Summer,High,None,1,32.0,48,Sugarcane,High,High,High
Karnataka,Koppal,Red,Rabi,Medium,None,4,24.4,39,Ragi,Low,Medium,Low
Tamil Nadu,Chennai,Black,Rabi,High,None,2,25.0,259,Wheat,Medium,Medium,Low
Odisha,Boudh,Loam,Kharif,Low,None,2,26.5,856,Maize,Medium,Medium,Medium
Odisha,Gajapati,Red,Kharif,High,Rice,3,21.3,973,Rice,Low,Medium,Medium
Maharashtra,Kolhapur,Black,Kharif,High,Rice,1,23.2,664,Cotton,High,Medium,High
Tamil Nadu,Karur,Clay,Rabi,High,Maize,0,21.7,159,Wheat,High,Medium,Low
Odisha,Khordha,Sandy,Rabi,Medium,Maize,1,24.9,228,Wheat,Medium,Medium,Low
Maharashtra,Sangli,Sandy,Kharif,High,Cotton,3,24.9,443,Cotton,High,Medium,High
Karnataka,Gadag,Sandy,Kharif,Medium,Sugarcane,2,27.0,527,Groundnut,Low,Medium,Medium
Odisha,Mayurbhanj,Loam,Rabi,High,Chilli,1,20.5,80,Rice,Low,High,Medium
Telangana,Jangaon,Black,Kharif,Medium,Groundnut,6,28.0,731,Cotton,Medium,Low,High
Andhra Pradesh,Krishna,Sandy,Rabi,Medium,None,5,24.5,145,Sunflower,Low,Medium,Medium
Odisha,Sundargarh,Black,Rabi,Low,Cotton,1,22.7,35,Jowar,Low,Medium,Low
Karnataka,Chitradurga,Black,Rabi,Low,Cotton,1,23.5,110,Jowar,Medium,Medium,Low
Karnataka,Belgaum,Sandy,Kharif,High,Soybean,6,22.8,783,Sugarcane,High,Medium,High
Odisha,Koraput,Sandy,Rabi,Low,Maize,2,25.8,90,Sunflower,Medium,Medium,Medium
Karnataka,Chitradurga,Clay,Kharif,High,Banana,1,23.9,462,Rice,Low,High,Medium
Odisha,Puri,Red,Summer,High,Chilli,4,29.3,92,Rice,Low,Medium,Medium
Maharashtra,Dhule,Red,Rabi,Medium,None,2,23.3,24,Onion,Low,High,High
Maharashtra,Dhule,Sandy,Kharif,Low,Cotton,5,25.9,448,Cotton,High,Medium,High
Maharashtra,Wardha,Sandy,Kharif,Medium,Cotton,3,27.3,848,Cotton,High,Medium,High
Karnataka,Bangalore Urban,Clay,Kharif,Medium,Sunflower,3,26.4,460,Cotton,Medium,Medium,Medium
Tamil Nadu,Nagapattinam,Loam,Kharif,Medium,Bajra,2,28.1,1027,Rice,Low,High,Medium
Tamil Nadu,Chennai,Loam,Kharif,Medium,Groundnut,1,25.1,289,Rice,Low,High,Medium
Andhra Pradesh,Chittoor,Sandy,Kharif,Low,Maize,5,25.1,436,Groundnut,Low,Medium,Medium
Maharashtra,Ahmednagar,Red,Summer,Medium,None,3,36.5,29,Onion,Medium,Medium,Medium
Maharashtra,Kolhapur,Clay,Kharif,Medium,Banana,2,24.0,959,Rice,Low,High,Medium
Odisha,Dhenkanal,Loam,Summer,Medium,Chilli,2,30.2,92,Maize,High,Medium,Medium
Odisha,Boudh,Red,Kharif,High,Groundnut,3,25.6,875,Rice,Low,High,Medium
Karnataka,Dharwad,Clay,Rabi,High,Rice,2,22.9,71,Wheat,Medium,Medium,Low
Maharashtra,Akola,Sandy,Kharif,Low,Bajra,3,26.7,602,Cotton,High,Medium,High
Maharashtra,Ahmednagar,Red,Kharif,High,Rice,1,26.9,463,Cotton,High,Medium,High
Karnataka,Mysore,Loam,Kharif,High,Jowar,2,20.3,352,Rice,Low,High,Low
Andhra Pradesh,East Godavari,Clay,Kharif,High,None,1,27.3,748,Banana,High,High,High
Telangana,Medak,Loam,Kharif,High,Soybean,3,25.8,910,Rice,Low,High,Medium
Karnataka,Tumkur,Black,Summer,Medium,None,4,30.8,104,Onion,Medium,High,Medium
Telangana,Sangareddy,Loam,Kharif,Medium,None,0,25.7,453,Cotton,High,Medium,High
Karnataka,Chamarajanagar,Black,Rabi,Medium,Sugarcane,3,21.3,100,Wheat,Medium,Medium,Low
Odisha,Mayurbhanj,Sandy,Kharif,High,Groundnut,4,28.0,1043,Rice,Low,High,Medium
Telangana,Mulugu,Black,Rabi,High,Bajra,4,21.5,72,Jowar,Medium,High,Low
Odisha,Sundargarh,Red,Rabi,Low,Jowar,2,20.3,72,Ragi,Low,Medium,Low
Andhra Pradesh,Nellore,Black,Kharif,Medium,Rice,3,27.8,428,Cotton,High,High,High
Maharashtra,Pune,Clay,Rabi,Medium,Soybean,6,17.3,50,Wheat,Medium,Medium,Low
Karnataka,Hassan,Loam,Summer,Low,Groundnut,2,24.2,84,Maize,High,Medium,Medium
Maharashtra,Satara,Clay,Kharif,Low,None,10,23.8,578,Cotton,High,Medium,High
Telangana,Medak,Black,Kharif,High,Rice,6,26.1,610,Cotton,High,High,High
Telangana,Medak,Red,Kharif,High,Sugarcane,1,24.6,285,Ragi,Low,Medium,Low
Telangana,Karimnagar,Black,Kharif,High,Onion,2,28.8,699,Cotton,High,Medium,High
Maharashtra,Parbhani,Sandy,Rabi,High,Jowar,4,20.0,28,Onion,Medium,High,High
Tamil Nadu,Thoothukudi,Clay,Summer,Medium,Rice,2,30.6,55,Banana,High,High,High
Telangana,Hyderabad,Black,Kharif,Medium,Onion,1,28.0,357,Cotton,High,Medium,High
Maharashtra,Akola,Clay,Summer,Medium,Rice,3,33.7,51,Onion,Medium,High,Medium
Andhra Pradesh,Guntur,Sandy,Kharif,Low,Sunflower,4,28.5,366,Groundnut,Low,Medium,Medium
Tamil Nadu,Thoothukudi,Red,Kharif,Medium,None,1,23.9,261,Ragi,Low,Medium,Low
Odisha,Jajpur,Sandy,Kharif,High,None,2,24.7,1137,Rice,Low,Medium,Medium
Odisha,Khordha,Sandy,Rabi,High,Rice,3,26.8,179,Ragi,Low,Medium,Low
Telangana,Medak,Clay,Kharif,High,Chilli,3,27.8,792,Rice,Low,High,Medium
Telangana,Rangareddy,Black,Kharif,Low,Cotton,4,24.9,661,Cotton,High,Medium,High
Telangana,Jagtial,Loam,Rabi,High,Sunflower,7,26.9,33,Rice,Low,High,Medium
Telangana,Nirmal,Clay,Rabi,Medium,Ragi,0,19.3,42,Wheat,Medium,Medium,Medium
Karnataka,Bellary,Sandy,Kharif,Low,Rice,1,27.1,601,Groundnut,Low,High,Medium
Maharashtra,Ahmednagar,Black,Rabi,Low,None,4,20.3,31,Jowar,Low,Low,Low
Maharashtra,Akola,Clay,Rabi,High,Banana,3,17.5,36,Wheat,Medium,Medium,Low
Odisha,Cuttack,Loam,Kharif,Low,Cotton,1,29.4,1222,Rice,Low,High,Medium
Telangana,Jagtial,Loam,Summer,Low,Jowar,2,36.3,75,Maize,High,Medium,Medium
Tamil Nadu,Cuddalore,Sandy,Summer,Low,Jowar,5,35.8,158,Onion,High,High,Medium
Karnataka,Chikkamagaluru,Loam,Kharif,Medium,Maize,3,23.3,1927,Rice,Low,High,Medium
Telangana,Mahabubnagar,Black,Kharif,Low,Cotton,3,25.8,672,Cotton,High,Medium,High
Maharashtra,Ahmednagar,Clay,Kharif,High,None,2,27.1,498,Rice,Low,Medium,Medium
Telangana,Sangareddy,Black,Kharif,High,None,2,27.0,731,Cotton,High,Medium,High
Tamil Nadu,Pudukkottai,Black,Kharif,Low,Ragi,1,30.2,467,Cotton,High,Medium,High
Telangana,Mulugu,Red,Kharif,Medium,Maize,1,27.7,882,Cotton,High,Medium,High
Karnataka,Tumkur,Red,Rabi,Medium,Jowar,2,21.0,170,Ragi,Low,Medium,Low
Tamil Nadu,Madurai,Loam,Rabi,High,Rice,1,26.0,332,Rice,Low,High,Medium
Maharashtra,Nashik,Loam,Rabi,Low,Rice,3,16.9,62,Wheat,Medium,Medium,Low
Karnataka,Bangalore Urban,Red,Rabi,High,Ragi,1,19.9,154,Ragi,Low,Medium,Medium
Telangana,Vikarabad,Loam,Rabi,Low,Rice,2,22.7,66,Wheat,Medium,Medium,Low
Maharashtra,Wardha,Sandy,Rabi,High,Maize,6,23.3,49,Onion,Medium,High,Medium
Odisha,Gajapati,Clay,Kharif,Low,None,4,28.3,651,Cotton,High,Medium,High
Odisha,Jajpur,Clay,Kharif,High,Rice,8,31.8,1183,Rice,Low,High,Low
Karnataka,Belgaum,Clay,Rabi,Medium,Soybean,1,19.4,79,Wheat,Medium,Medium,Low
Maharashtra,Pune,Clay,Kharif,High,None,3,25.1,660,Rice,Low,High,Medium
Telangana,Warangal Rural,Clay,Rabi,High,None,4,24.0,62,Turmeric,Medium,High,Low
Odisha,Angul,Sandy,Kharif,Low,None,1,30.5,968,Groundnut,Low,Medium,Medium
Odisha,Dhenkanal,Loam,Summer,Medium,Soybean,0,32.6,99,Maize,High,Medium,Medium
Odisha,Nayagarh,Sandy,Rabi,Medium,Sugarcane,5,22.8,66,Sunflower,Medium,High,Medium
Maharashtra,Akola,Loam,Rabi,Medium,None,1,18.7,33,Wheat,Medium,Low,Low
Karnataka,Chitradurga,Sandy,Kharif,Low,None,4,23.0,416,Groundnut,Low,Medium,Medium
Tamil Nadu,Tiruvarur,Loam,Kharif,Low,Sunflower,2,28.1,472,Cotton,High,Low,High
Telangana,Hyderabad,Black,Kharif,Low,None,3,31.6,787,Cotton,High,Medium,Medium
Tamil Nadu,Madurai,Clay,Rabi,High,Maize,1,27.8,274,Turmeric,High,Medium,Low
Telangana,Siddipet,Black,Rabi,Low,Rice,3,20.7,81,Jowar,Low,Medium,Low
Tamil Nadu,Nagapattinam,Black,Kharif,Medium,Sunflower,3,28.1,688,Cotton,High,Medium,High
Andhra Pradesh,Nellore,Red,Kharif,Medium,Cotton,3,28.3,737,Cotton,High,Medium,High
Karnataka,Haveri,Black,Kharif,Low,Bajra,4,24.2,762,Cotton,Medium,Medium,High
Telangana,Suryapet,Black,Kharif,Medium,Rice,7,27.9,1085,Cotton,High,High,Medium
Tamil Nadu,Vellore,Black,Kharif,Low,Maize,4,24.9,437,Cotton,High,Medium,High
Tamil Nadu,Perambalur,Loam,Kharif,Low,Soybean,5,26.1,562,Cotton,High,Medium,High
Maharashtra,Nanded,Sandy,Kharif,Low,None,2,25.3,669,Cotton,High,Medium,High
Tamil Nadu,Erode,Black,Kharif,High,Cotton,1,26.1,352,Cotton,High,Medium,High
Telangana,Siddipet,Loam,Summer,High,Bajra,1,32.7,62,Rice,Low,High,Medium
Maharashtra,Amravati,Sandy,Kharif,Medium,Ragi,5,22.9,609,Cotton,High,Medium,High
Telangana,Khammam,Clay,Kharif,High,None,5,26.5,875,Rice,Low,High,High
Andhra Pradesh,YSR Kadapa,Loam,Rabi,Low,Maize,3,25.8,79,Sunflower,High,Medium,Low
Maharashtra,Satara,Clay,Rabi,Medium,None,3,22.8,40,Wheat,Medium,Medium,Low
Odisha,Mayurbhanj,Black,Kharif,Medium,Groundnut,2,26.9,1495,Cotton,High,Medium,Medium
Telangana,Warangal Urban,Black,Kharif,High,Groundnut,2,32.0,795,Cotton,Medium,Medium,High
Maharashtra,Osmanabad,Clay,Kharif,High,Cotton,2,27.3,806,Rice,Low,High,Medium
Karnataka,Chitradurga,Sandy,Kharif,High,Groundnut,1,23.3,560,Rice,Low,High,Medium
Tamil Nadu,Namakkal,Loam,Kharif,Medium,Soybean,2,24.8,306,Rice,Low,High,Medium
Telangana,Peddapalli,Red,Kharif,High,Rice,4,28.3,659,Cotton,High,Medium,High
Tamil Nadu,Virudhunagar,Black,Summer,High,Rice,2,38.8,103,Sugarcane,High,High,Medium
Tamil Nadu,Vellore,Red,Rabi,High,None,0,25.9,241,Ragi,Low,Medium,Low
Tamil Nadu,Kanyakumari,Clay,Kharif,High,Sunflower,4,26.5,786,Banana,High,High,High
Karnataka,Tumkur,Clay,Rabi,High,Cotton,3,22.3,134,Wheat,Medium,Medium,Low
Maharashtra,Parbhani,Black,Kharif,Medium,Groundnut,4,27.1,405,Cotton,High,Medium,High
